name,address,phone,cusine,email,state
"Karl Strauss Brewing Company, Los Angeles","600 Wilshire Blvd Suite 100, Los Angeles, CA 90017-3212",+1 213-228-2739,"$$ - $$$,American,Brew Pub,Bar,",customerservice@karlstrauss.com,Los Angeles Restaurants
"Cafe Gratitude, Los Angeles","512 Rosemont Ave, Los Angeles, CA 90026-4032",001-424-231-8000,"$$ - $$$,American,Cafe,Vegetarian Friendly,",,Los Angeles Restaurants
"Domingo's Italian Deli, Los Angeles","17548 Ventura Blvd, Los Angeles, CA 91316-3835",+1 818-981-4466,"Italian,",info@domingositaliandeli.com,Los Angeles Restaurants
"Sushi Gen, Los Angeles","422 E 2nd St Central Ave., Los Angeles, CA 90012-4209",+1 213-617-0552,"$$ - $$$,Japanese,Sushi,Asian,",,Los Angeles Restaurants
"Genwa Korean BBQ, Los Angeles","5115 Wilshire Blvd Ste A, Los Angeles, CA 90036-4366",+1 323-549-0760,"$$ - $$$,Barbecue,Asian,Korean,",genwabbq@gmail.com,Los Angeles Restaurants
"Langer's, Los Angeles","704 S Alvarado St, Los Angeles, CA 90057-4020",+1 213-483-8050,"$$ - $$$,American,Deli,Diner,",,Los Angeles Restaurants
"Parkway Grill, Pasadena","510 S Arroyo Pkwy, Pasadena, CA 91105-2520",+1 626-795-1001,"$$$$,American,Contemporary,Vegetarian Friendly,",feedback@theparkwaygrill.com,Los Angeles Restaurants
"Magic Castle, Los Angeles","7001 Franklin Ave, Los Angeles, CA 90028-8600",+1 323-851-3313,"$$$$,American,Vegetarian Friendly,",,Los Angeles Restaurants
Eleven City Deli Los Angeles,"5400 Wilshire Blvd CLOSE to LACMA , Tar Pits & Museums and Peterson Auto Museum, Los Angeles, CA 90036-4202",+1 323-761-1211,"$$ - $$$,American,Deli,Diner,",,Los Angeles Restaurants
"Nickel Diner, Los Angeles","524 S Main St, Los Angeles, CA 90013-1422",+1 213-623-8301,"$$ - $$$,American,Diner,Vegetarian Friendly,",,Los Angeles Restaurants
"Tatsu Ramen, Los Angeles","2123 Sawtelle Blvd, Los Angeles, CA 90025-6200",+1 310-684-2889,"$$ - $$$,Japanese,Asian,Soups,",sawtelle@tatsuramen.com,Los Angeles Restaurants
"Redbird, Los Angeles","114 E 2nd St, Los Angeles, CA 90012-3711",+1 213-788-1191,"$$$$,American,Vegetarian Friendly,Vegan Options,",info@redbird.la,Los Angeles Restaurants
"Pampas Grill, Los Angeles","6333 W 3rd St Ste 618, Los Angeles, CA 90036-3109",+1 323-934-6680,"$,Brazilian,Latin,Barbecue,",,Los Angeles Restaurants
"Raffi's Place Restaurant, Glendale","211 E Broadway, Glendale, CA 91205-1008",+1 818-240-7411,"$$ - $$$,Mediterranean,Middle Eastern,Persian,",,Los Angeles Restaurants
"Casa de Campo, Los Angeles","147 S Barrington Ave Brentwood, Los Angeles, CA 90049-3310",+1 310-208-2100,"Mexican,",,Los Angeles Restaurants
"The Bazaar by Jose Andres, Los Angeles","465 S La Cienega Blvd, Los Angeles, CA 90048-4001",+1 310-246-5555,"$$$$,Spanish,Vegetarian Friendly,Vegan Options,",sls.bazaar@luxurycollection.com,Los Angeles Restaurants
"Foxy's Restaurant, Glendale","206 W Colorado St, Glendale, CA 91204-1306",+1 818-246-0244,"$$ - $$$,American,Deli,Vegetarian Friendly,",,Los Angeles Restaurants
"Ca' Del Sole, Los Angeles","4100 Cahuenga Blvd, Los Angeles, CA 91602-2831",+1 818-985-4669,"$$ - $$$,Italian,Vegetarian Friendly,Vegan Options,",,Los Angeles Restaurants
"RockSugar Southeast Asian Kitchen, Los Angeles","10250 Santa Monica Blvd Ste 654, Los Angeles, CA 90067-6501",+1 310-552-9988,"$$ - $$$,Asian,Thai,Fusion,",privateevents@rocksugarpanasiankitchen.com,Los Angeles Restaurants
"The Boiling Crab, Los Angeles","3377 Wilshire Blvd Ste 115, Los Angeles, CA 90010-1850",+1 213-389-2722,"$$ - $$$,American,Seafood,",,Los Angeles Restaurants
"STK Steakhouse, Los Angeles","930 Hilgard Ave W Los Angeles West Beverly Hills, Los Angeles, CA 90024-3009",+1 310-659-3535,"$$$$,American,Steakhouse,",info@togrp.com,Los Angeles Restaurants
"Aroma Coffee & Tea, Los Angeles","4360 Tujunga Ave, Los Angeles, CA 91604-2751",+1 818-508-0677,"$$ - $$$,American,Cafe,Vegetarian Friendly,",,Los Angeles Restaurants
"Lemonade, Los Angeles","1661 Abbot Kinney Blvd, Los Angeles, CA 90291-3744",+1 310-452-6200,"$$ - $$$,American,Vegetarian Friendly,Vegan Options,",,Los Angeles Restaurants
"Republique, Los Angeles","624 S La Brea Ave, Los Angeles, CA 90036-3568",+1 310-362-6115,"$$ - $$$,French,American,Vegetarian Friendly,",info@republiquela.com,Los Angeles Restaurants
"Off Vine, Los Angeles","6263 Leland Way, Los Angeles, CA 90028-8207",+1 323-962-1900,"$$ - $$$,American,Contemporary,Vegetarian Friendly,",offvinerestaurant@sbcglobal.net,Los Angeles Restaurants
"The Luggage Room Pizzeria, Pasadena","260 S Raymond Ave, Pasadena, CA 91105-2014",+1 626-356-4440,"$$ - $$$,Italian,Pizza,Vegetarian Friendly,",,Los Angeles Restaurants
"E.A.K. RAMEN - LA Melrose, Los Angeles","7455 Melrose Ave, Los Angeles, CA 90046-7525",+1 323-866-1866,"$$ - $$$,Japanese,Asian,Soups,",info@eakramen.com,Los Angeles Restaurants
"E.A.K. RAMEN - LA Melrose, Los Angeles","7455 Melrose Ave, Los Angeles, CA 90046-7525",+1 323-866-1866,"$$ - $$$,Japanese,Asian,Soups,",info@eakramen.com,Los Angeles Restaurants
"The Bazaar by Jose Andres, Los Angeles","465 S La Cienega Blvd, Los Angeles, CA 90048-4001",+1 310-246-5555,"$$$$,Spanish,Vegetarian Friendly,Vegan Options,",sls.bazaar@luxurycollection.com,Los Angeles Restaurants
"Foxy's Restaurant, Glendale","206 W Colorado St, Glendale, CA 91204-1306",+1 818-246-0244,"$$ - $$$,American,Deli,Vegetarian Friendly,",,Los Angeles Restaurants
"Ca' Del Sole, Los Angeles","4100 Cahuenga Blvd, Los Angeles, CA 91602-2831",+1 818-985-4669,"$$ - $$$,Italian,Vegetarian Friendly,Vegan Options,",,Los Angeles Restaurants
"RockSugar Southeast Asian Kitchen, Los Angeles","10250 Santa Monica Blvd Ste 654, Los Angeles, CA 90067-6501",+1 310-552-9988,"$$ - $$$,Asian,Thai,Fusion,",privateevents@rocksugarpanasiankitchen.com,Los Angeles Restaurants
"The Boiling Crab, Los Angeles","3377 Wilshire Blvd Ste 115, Los Angeles, CA 90010-1850",+1 213-389-2722,"$$ - $$$,American,Seafood,",,Los Angeles Restaurants
"Casa de Campo, Los Angeles","147 S Barrington Ave Brentwood, Los Angeles, CA 90049-3310",+1 310-208-2100,"Mexican,",,Los Angeles Restaurants
"Aroma Coffee & Tea, Los Angeles","4360 Tujunga Ave, Los Angeles, CA 91604-2751",+1 818-508-0677,"$$ - $$$,American,Cafe,Vegetarian Friendly,",,Los Angeles Restaurants
"Lemonade, Los Angeles","1661 Abbot Kinney Blvd, Los Angeles, CA 90291-3744",+1 310-452-6200,"$$ - $$$,American,Vegetarian Friendly,Vegan Options,",,Los Angeles Restaurants
"Republique, Los Angeles","624 S La Brea Ave, Los Angeles, CA 90036-3568",+1 310-362-6115,"$$ - $$$,French,American,Vegetarian Friendly,",info@republiquela.com,Los Angeles Restaurants
"Off Vine, Los Angeles","6263 Leland Way, Los Angeles, CA 90028-8207",+1 323-962-1900,"$$ - $$$,American,Contemporary,Vegetarian Friendly,",offvinerestaurant@sbcglobal.net,Los Angeles Restaurants
"The Luggage Room Pizzeria, Pasadena","260 S Raymond Ave, Pasadena, CA 91105-2014",+1 626-356-4440,"$$ - $$$,Italian,Pizza,Vegetarian Friendly,",,Los Angeles Restaurants
"Greco's New York Pizzeria, Los Angeles","6814 Hollywood Blvd, Los Angeles, CA 90028-6102",+1 323-469-1696,"$,Quick Bites,American,Pizza,",,Los Angeles Restaurants
Craft Los Angeles,"10100 Constellation Blvd, Los Angeles, CA 90067-4604",+1 310-279-4180,"$$$$,American,Vegetarian Friendly,Vegan Options,",info@craftrestaurant.com,Los Angeles Restaurants
"Din Tai Fung Dumpling House, Glendale","177 Caruso Ave, Glendale, CA 91210-1564",+1 818-551-5561,"$$ - $$$,Chinese,Asian,Taiwanese,",,Los Angeles Restaurants
Gus's Barbecue - South Pasadena,"808 Fair Oaks Ave, South Pasadena, CA 91030-2606",+1 626-799-3251,"$$ - $$$,American,Barbecue,Gluten Free Options,",southpasadena@gussbbq.com,Los Angeles Restaurants
"SUGARFISH by sushi nozawa, Los Angeles","600 W 7th St, Los Angeles, CA 90017-3842",+1 213-627-3000,"$$ - $$$,Japanese,Seafood,Sushi,",EAT@sugarFISHsushi.com,Los Angeles Restaurants
"Perch, Los Angeles","448 S Hill St, Los Angeles, CA 90013-1155",+1 213-802-1770,"$$ - $$$,French,American,Bar,",,Los Angeles Restaurants
"STK Steakhouse, Los Angeles","930 Hilgard Ave W Los Angeles West Beverly Hills, Los Angeles, CA 90024-3009",+1 310-659-3535,"$$$$,American,Steakhouse,",info@togrp.com,Los Angeles Restaurants
"Cafe Gratitude, Los Angeles","639 N Larchmont Blvd, Los Angeles, CA 90004-1310",+1 323-580-6383,"$$ - $$$,Cafe,Vegetarian Friendly,Vegan Options,",,Los Angeles Restaurants
"Cassell's Hamburgers, Los Angeles","3600 W 6th St Corner of Sixth & Normandie, Los Angeles, CA 90020-3004",+1 213-387-5502,"$$ - $$$,American,Vegetarian Friendly,",,Los Angeles Restaurants
"Vivian's Millenium Cafe, Los Angeles","10968 Ventura Blvd, Los Angeles, CA 91604-3340",+1 818-762-8710,"$$ - $$$,American,Cafe,Vegetarian Friendly,",,Los Angeles Restaurants
"The Factory Kitchen, Los Angeles","1300 Factory Pl Ste 101, Los Angeles, CA 90013-2591",+1 213-996-6000,"$$ - $$$,Italian,Northern-Italian,Central-Italian,",info@thefactorykitchen.com,Los Angeles Restaurants
